EXTRACTED_DATE,EXTRACTED_TIME,STOCK_NAME,EXTRACTED_PRICE
18-12-2025,05:30:08,YESBANK,21.49
18-12-2025,05:30:09,YESBANK,21.49
18-12-2025,05:30:10,YESBANK,21.49
18-12-2025,05:30:11,YESBANK,21.49
18-12-2025,05:30:11,YESBANK,21.49
18-12-2025,05:30:14,YESBANK,21.49
18-12-2025,05:30:14,YESBANK,21.49
18-12-2025,05:30:15,YESBANK,21.49
18-12-2025,05:30:17,YESBANK,21.49
18-12-2025,05:30:19,YESBANK,21.49
18-12-2025,05:30:19,YESBANK,21.49
18-12-2025,05:30:20,YESBANK,21.49
18-12-2025,05:30:21,YESBANK,21.49
18-12-2025,05:30:22,YESBANK,21.49
18-12-2025,05:30:22,YESBANK,21.49
18-12-2025,05:30:25,YESBANK,21.49
18-12-2025,05:30:25,YESBANK,21.49
18-12-2025,05:30:26,YESBANK,21.49
18-12-2025,05:30:28,YESBANK,21.49
18-12-2025,05:30:30,YESBANK,21.49
18-12-2025,05:30:30,YESBANK,21.49
18-12-2025,05:30:31,YESBANK,21.47
18-12-2025,05:30:32,YESBANK,21.47
18-12-2025,05:30:33,YESBANK,21.47
18-12-2025,05:30:33,YESBANK,21.47
18-12-2025,05:30:36,YESBANK,21.47
18-12-2025,05:30:36,YESBANK,21.47
18-12-2025,05:30:37,YESBANK,21.47
18-12-2025,05:30:39,YESBANK,21.48
18-12-2025,05:30:41,YESBANK,21.48
18-12-2025,05:30:42,YESBANK,21.48
18-12-2025,05:30:43,YESBANK,21.47
18-12-2025,05:30:44,YESBANK,21.47
18-12-2025,05:30:44,YESBANK,21.47
18-12-2025,05:30:47,YESBANK,21.47
18-12-2025,05:30:47,YESBANK,21.47
18-12-2025,05:30:48,YESBANK,21.47
18-12-2025,05:30:50,YESBANK,21.47
18-12-2025,05:30:53,YESBANK,21.47
18-12-2025,05:30:53,YESBANK,21.47
18-12-2025,05:30:54,YESBANK,21.47
18-12-2025,05:30:55,YESBANK,21.47
18-12-2025,05:30:55,YESBANK,21.47
18-12-2025,05:30:58,YESBANK,21.48
18-12-2025,05:30:58,YESBANK,21.48
18-12-2025,05:30:59,YESBANK,21.48
18-12-2025,05:31:01,YESBANK,21.48
18-12-2025,05:31:04,YESBANK,21.48
18-12-2025,05:31:04,YESBANK,21.48
18-12-2025,05:31:05,YESBANK,21.47
18-12-2025,05:31:06,YESBANK,21.47
18-12-2025,05:31:06,YESBANK,21.47
18-12-2025,05:31:09,YESBANK,21.47
18-12-2025,05:31:09,YESBANK,21.47
18-12-2025,05:31:11,YESBANK,21.47
18-12-2025,05:31:12,YESBANK,21.47
18-12-2025,05:31:15,YESBANK,21.47
18-12-2025,05:31:15,YESBANK,21.47
18-12-2025,05:31:16,YESBANK,21.47
18-12-2025,05:31:17,YESBANK,21.47
18-12-2025,05:31:17,YESBANK,21.47
18-12-2025,05:31:19,YESBANK,21.47
18-12-2025,05:31:20,YESBANK,21.47
18-12-2025,05:31:22,YESBANK,21.47
18-12-2025,05:31:23,YESBANK,21.47
18-12-2025,05:31:26,YESBANK,21.47
18-12-2025,05:31:26,YESBANK,21.47
18-12-2025,05:31:27,YESBANK,21.48
18-12-2025,05:31:28,YESBANK,21.48
18-12-2025,05:31:28,YESBANK,21.48
18-12-2025,05:31:30,YESBANK,21.48
18-12-2025,05:31:31,YESBANK,21.48
18-12-2025,05:31:33,YESBANK,21.48
18-12-2025,05:31:34,YESBANK,21.48
18-12-2025,05:31:37,YESBANK,21.48
18-12-2025,05:31:37,YESBANK,21.48
18-12-2025,05:31:38,YESBANK,21.48
18-12-2025,05:31:39,YESBANK,21.48
18-12-2025,05:31:39,YESBANK,21.48
18-12-2025,05:31:41,YESBANK,21.47
18-12-2025,05:31:42,YESBANK,21.47
18-12-2025,05:31:44,YESBANK,21.47
18-12-2025,05:31:45,YESBANK,21.47
18-12-2025,05:31:48,YESBANK,21.47
18-12-2025,05:31:48,YESBANK,21.47
18-12-2025,05:35:03,YESBANK,21.47
18-12-2025,05:35:13,YESBANK,21.46
18-12-2025,05:35:24,YESBANK,21.45
18-12-2025,05:35:35,YESBANK,21.46
18-12-2025,05:35:46,YESBANK,21.46
18-12-2025,05:35:58,YESBANK,21.46
18-12-2025,05:36:09,YESBANK,21.45
18-12-2025,05:36:19,YESBANK,21.45
18-12-2025,05:36:30,YESBANK,21.45
18-12-2025,05:36:41,YESBANK,21.45
18-12-2025,05:36:52,YESBANK,21.45
18-12-2025,05:37:03,YESBANK,21.45
18-12-2025,05:37:14,YESBANK,21.46
18-12-2025,05:37:25,YESBANK,21.45
18-12-2025,05:37:36,YESBANK,21.45
18-12-2025,05:37:47,YESBANK,21.45
18-12-2025,05:37:58,YESBANK,21.45
18-12-2025,05:38:09,YESBANK,21.46
18-12-2025,05:38:20,YESBANK,21.44
18-12-2025,05:38:30,YESBANK,21.45
18-12-2025,05:38:41,YESBANK,21.43
18-12-2025,05:38:52,YESBANK,21.43
18-12-2025,05:39:03,YESBANK,21.43
18-12-2025,05:39:14,YESBANK,21.43
18-12-2025,05:39:25,YESBANK,21.43
18-12-2025,05:39:36,YESBANK,21.43
18-12-2025,05:39:47,YESBANK,21.44
18-12-2025,05:39:58,YESBANK,21.44
18-12-2025,05:40:09,YESBANK,21.43
18-12-2025,05:40:20,YESBANK,21.44
18-12-2025,05:45:03,YESBANK,21.44
18-12-2025,05:45:14,YESBANK,21.44
18-12-2025,05:45:25,YESBANK,21.43
18-12-2025,05:45:37,YESBANK,21.44
18-12-2025,05:45:48,YESBANK,21.44
18-12-2025,05:45:59,YESBANK,21.44
18-12-2025,05:46:10,YESBANK,21.44
18-12-2025,05:46:21,YESBANK,21.44
18-12-2025,05:46:32,YESBANK,21.43
18-12-2025,05:46:43,YESBANK,21.43
18-12-2025,05:46:54,YESBANK,21.43
18-12-2025,05:47:05,YESBANK,21.43
18-12-2025,05:47:16,YESBANK,21.43
18-12-2025,05:47:26,YESBANK,21.43
18-12-2025,05:47:37,YESBANK,21.42
18-12-2025,05:47:48,YESBANK,21.43
18-12-2025,05:47:59,YESBANK,21.43
18-12-2025,05:48:10,YESBANK,21.43
18-12-2025,05:48:21,YESBANK,21.43
18-12-2025,05:48:32,YESBANK,21.41
18-12-2025,05:48:43,YESBANK,21.41
18-12-2025,05:48:54,YESBANK,21.41
18-12-2025,05:49:05,YESBANK,21.41
18-12-2025,05:49:15,YESBANK,21.41
18-12-2025,05:49:26,YESBANK,21.41
18-12-2025,05:49:37,YESBANK,21.43
18-12-2025,05:49:48,YESBANK,21.43
18-12-2025,05:49:59,YESBANK,21.42
18-12-2025,05:50:10,YESBANK,21.43
18-12-2025,05:50:20,YESBANK,21.43
18-12-2025,05:50:31,YESBANK,21.43
18-12-2025,05:50:42,YESBANK,21.41
18-12-2025,05:50:53,YESBANK,21.41
18-12-2025,05:51:04,YESBANK,21.42
18-12-2025,05:51:14,YESBANK,21.42
18-12-2025,05:51:25,YESBANK,21.42
18-12-2025,05:51:36,YESBANK,21.43
18-12-2025,05:51:47,YESBANK,21.45
18-12-2025,05:51:58,YESBANK,21.45
18-12-2025,05:52:09,YESBANK,21.45
18-12-2025,05:52:20,YESBANK,21.44
18-12-2025,05:52:31,YESBANK,21.44
18-12-2025,05:52:42,YESBANK,21.44
18-12-2025,05:52:54,YESBANK,21.45
18-12-2025,05:53:05,YESBANK,21.45
18-12-2025,05:53:16,YESBANK,21.45
18-12-2025,05:53:27,YESBANK,21.44
18-12-2025,05:53:38,YESBANK,21.44
18-12-2025,05:53:49,YESBANK,21.45
18-12-2025,05:54:00,YESBANK,21.45
18-12-2025,05:54:11,YESBANK,21.45
18-12-2025,05:54:22,YESBANK,21.44
